epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.32,0.90273,3.85526,1.0867,0.00334,0.34865,0.01678,0.01405,0.57907,4.1106,0.92498,2e-05,2e-05,2e-05
2,68.1734,0.79162,3.83691,1.03974,0.00666,0.33476,0.03146,0.0273,0.49505,4.02704,0.88229,4.9505e-05,4.9505e-05,4.9505e-05
3,99.7365,0.6429,3.74452,0.94002,0.01862,0.43732,0.08693,0.06954,0.48585,3.99448,0.87392,7.8416e-05,7.8416e-05,7.8416e-05
4,131.252,0.70132,3.46233,0.9345,0.027,0.56446,0.15345,0.12111,0.49993,3.89532,0.8785,0.000106733,0.000106733,0.000106733
5,162.681,0.79985,3.20699,0.97115,0.03938,0.88746,0.30177,0.25017,0.50169,3.71948,0.81427,0.000134456,0.000134456,0.000134456
6,194.519,0.66379,2.85018,0.91246,0.02903,0.95085,0.30291,0.25254,0.53652,3.68363,0.81895,0.000161585,0.000161585,0.000161585
7,225.821,0.76043,2.92804,0.89675,0.0244,0.94338,0.3394,0.27393,0.57072,3.63329,0.8251,0.00018812,0.00018812,0.00018812
8,256.194,0.82113,2.54722,1.01685,0.02375,0.92806,0.37678,0.29723,0.58341,3.60104,0.82333,0.000214061,0.000214061,0.000214061
9,287.843,0.72379,2.37141,0.92143,0.0241,0.92806,0.37379,0.29519,0.61323,3.54005,0.83848,0.000239408,0.000239408,0.000239408
10,319.224,0.64499,1.89057,0.88518,0.02425,0.90776,0.35506,0.27948,0.62453,3.4901,0.84305,0.000264161,0.000264161,0.000264161
11,351.142,0.75971,1.95735,0.94544,0.02334,0.88604,0.32469,0.26026,0.62349,3.39095,0.84452,0.00028832,0.00028832,0.00028832
12,382.929,0.70171,1.60167,0.90888,0.02321,0.88604,0.33985,0.27278,0.61935,3.35626,0.84533,0.000311885,0.000311885,0.000311885
13,415.86,0.80485,1.47424,0.93262,0.02202,0.89459,0.32572,0.27302,0.61257,3.30621,0.85308,0.000334856,0.000334856,0.000334856
14,447.144,0.65056,1.24643,0.91912,0.02198,0.89031,0.3332,0.27547,0.60664,3.29215,0.85386,0.000357233,0.000357233,0.000357233
15,478.408,0.67032,1.18152,0.92586,0.02535,0.87215,0.36861,0.29924,0.60833,3.31898,0.86643,0.000379016,0.000379016,0.000379016
16,509.623,0.74038,1.23122,0.94506,0.02853,0.7151,0.38908,0.31879,0.59341,3.30473,0.86962,0.000400205,0.000400205,0.000400205
17,541.375,0.70778,1.18491,0.97628,0.0317,0.7151,0.3632,0.299,0.54494,3.35654,0.8696,0.0004208,0.0004208,0.0004208
18,574.158,0.67506,1.26802,0.93459,0.03499,0.74644,0.35687,0.2983,0.53793,3.3306,0.87364,0.000440801,0.000440801,0.000440801
19,604.994,0.62771,1.15335,0.93449,0.03726,0.75071,0.39375,0.32442,0.51122,3.27657,0.87198,0.000460208,0.000460208,0.000460208
20,636.033,0.56236,0.99686,0.91234,0.03996,0.77635,0.42597,0.3517,0.48374,3.21174,0.86895,0.000479021,0.000479021,0.000479021
